symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-12-03 00:00:00+00:00,259.45,259.53,256.29,258.31,29377268,62.9534285018,62.97283985,62.1866802495,62.6768167906,117509072,0.0,1.0
AAPL,2019-12-04 00:00:00+00:00,261.74,263.31,260.68,261.07,16810388,63.5090783429,63.8900260506,63.2518779798,63.3465083021,67241552,0.0,1.0
AAPL,2019-12-05 00:00:00+00:00,265.58,265.89,262.73,263.79,18661343,64.4408230546,64.5160420287,63.7492937764,64.0064941395,74645372,0.0,1.0
AAPL,2019-12-06 00:00:00+00:00,270.71,271.0,267.3,267.48,26547493,65.6855757554,65.7559418925,64.8581670401,64.9018425734,106189972,0.0,1.0
AAPL,2019-12-09 00:00:00+00:00,266.92,270.8,264.91,270.0,32182645,64.7659631363,65.7074135221,64.2782530138,65.5133000405,128730580,0.0,1.0
AAPL,2019-12-10 00:00:00+00:00,268.48,270.07,265.86,268.6,22632383,65.1444844254,65.5302849701,64.5087627732,65.1736014477,90529532,0.0,1.0
AAPL,2019-12-11 00:00:00+00:00,270.77,271.1,268.5,268.81,19723391,65.7001342665,65.7802060777,65.1493372625,65.2245562366,78893564,0.0,1.0
AAPL,2019-12-12 00:00:00+00:00,271.46,272.56,267.32,267.78,34437042,65.8675571444,66.1344631816,64.8630198771,64.974635129,137748168,0.0,1.0
AAPL,2019-12-13 00:00:00+00:00,275.15,275.3,270.93,271.46,33432806,66.7629055783,66.7993018561,65.7389569628,65.8675571444,133731224,0.0,1.0
AAPL,2019-12-16 00:00:00+00:00,279.86,280.79,276.98,277.0,32081105,67.9057487012,68.1314056236,67.2069401674,67.2117930045,128324420,0.0,1.0
AAPL,2019-12-17 00:00:00+00:00,280.41,281.77,278.8,279.57,28575798,68.0392017198,68.3691946385,67.6485483381,67.8353825641,114303192,0.0,1.0
AAPL,2019-12-18 00:00:00+00:00,279.74,281.9,279.12,279.8,29024687,67.876631679,68.4007380793,67.7261937307,67.8911901901,116098748,0.0,1.0
AAPL,2019-12-19 00:00:00+00:00,280.02,281.18,278.95,279.5,24626947,67.9445713975,68.2260359458,67.6849446159,67.8183976345,98507788,0.0,1.0
AAPL,2019-12-20 00:00:00+00:00,279.44,282.65,278.56,282.23,69032743,67.8038391234,68.5827194683,67.5903142936,68.4808098904,276130972,0.0,1.0
AAPL,2019-12-23 00:00:00+00:00,284.0,284.25,280.37,280.53,24677883,68.9102859685,68.9709464315,68.0294960457,68.068318742,98711532,0.0,1.0
AAPL,2019-12-24 00:00:00+00:00,284.27,284.89,282.92,284.69,12119714,68.9757992685,69.1262372168,68.6482327683,69.0777088464,48478856,0.0,1.0
AAPL,2019-12-26 00:00:00+00:00,289.91,289.98,284.7,284.82,23334004,70.3442993138,70.3612842435,69.0801352649,69.1092522871,93336016,0.0,1.0
AAPL,2019-12-27 00:00:00+00:00,289.8,293.97,288.12,291.12,36592936,70.3176087101,71.3294252329,69.9099703987,70.6378959547,146371744,0.0,1.0
AAPL,2019-12-30 00:00:00+00:00,291.52,292.69,285.22,289.46,36059614,70.7349526955,71.0188436624,69.2063090279,70.2351104804,144238456,0.0,1.0
AAPL,2019-12-31 00:00:00+00:00,293.65,293.68,289.52,289.93,25247625,71.2517798403,71.2590590959,70.2496689915,70.3491521509,100990500,0.0,1.0
AAPL,2020-01-02 00:00:00+00:00,300.35,300.6,295.19,296.24,33911864,72.8774802487,72.9381407117,71.6254482924,71.880222237,135647456,0.0,1.0
AAPL,2020-01-03 00:00:00+00:00,297.43,300.58,296.5,297.15,36633878,72.1689660409,72.9332878747,71.9433091185,72.1010263223,146535512,0.0,1.0
AAPL,2020-01-06 00:00:00+00:00,299.8,299.96,292.75,293.79,29644644,72.7440272301,72.7828499264,71.0334021735,71.2857496996,118578576,0.0,1.0
AAPL,2020-01-07 00:00:00+00:00,298.39,300.9,297.48,299.84,27877655,72.4019022188,73.0109332673,72.1810981335,72.7537329042,111510620,0.0,1.0
AAPL,2020-01-08 00:00:00+00:00,303.19,304.44,297.16,297.16,33090946,73.5665831084,73.8698854234,72.1034527408,72.1034527408,132363784,0.0,1.0
AAPL,2020-01-09 00:00:00+00:00,309.63,310.43,306.2,307.24,42621542,75.1291966353,75.3233101169,74.2969350829,74.549282609,170486168,0.0,1.0
AAPL,2020-01-10 00:00:00+00:00,310.33,312.67,308.25,310.6,35217272,75.2990459317,75.8668278654,74.7943508795,75.3645592317,140869088,0.0,1.0
AAPL,2020-01-13 00:00:00+00:00,316.96,317.07,311.15,311.64,30028742,76.9077614105,76.9344520142,75.4980122503,75.6169067578,120114968,0.0,1.0
AAPL,2020-01-14 00:00:00+00:00,312.68,317.57,312.17,316.7,40653457,75.8692542839,77.0557729402,75.7455069394,76.8446745289,162613828,0.0,1.0
AAPL,2020-01-15 00:00:00+00:00,311.34,315.5,309.55,311.85,30480882,75.5441142022,76.5535043065,75.1097852871,75.6678615467,121923528,0.0,1.0
AAPL,2020-01-16 00:00:00+00:00,315.24,315.7,312.09,313.59,27207254,76.490417425,76.6020326769,75.7260955912,76.0900583692,108829016,0.0,1.0
